# time step,ucb true rewards,random true rewards
728.0,0.686800,0.590300
729.0,0.685900,0.589500
730.0,0.684900,0.588700
731.0,0.684000,0.587900
732.0,0.683100,0.587100
733.0,0.682100,0.586300
734.0,0.681200,0.585500
735.0,0.680300,0.584700
736.0,0.679300,0.583900
737.0,0.678400,0.583100
738.0,0.677500,0.582300
739.0,0.676600,0.581500
740.0,0.675700,0.580700
741.0,0.674800,0.579900
742.0,0.673900,0.579200
743.0,0.672900,0.578400
744.0,0.672000,0.577600
745.0,0.671100,0.576800
746.0,0.670200,0.576100
747.0,0.669300,0.575300
748.0,0.668400,0.574500
749.0,0.667600,0.573800
750.0,0.666700,0.573000
751.0,0.665800,0.572200
752.0,0.664900,0.571500
753.0,0.664000,0.570700
754.0,0.663100,0.569900
755.0,0.662300,0.569200
756.0,0.661400,0.568400
757.0,0.660500,0.567700
758.0,0.659600,0.566900
759.0,0.658800,0.566200
760.0,0.657900,0.565400
761.0,0.657000,0.564700
762.0,0.656200,0.564000
763.0,0.655300,0.563200
764.0,0.654500,0.562500
765.0,0.653600,0.561800
766.0,0.652700,0.561000
767.0,0.651900,0.560300
768.0,0.651000,0.559600
769.0,0.650200,0.558800
770.0,0.649400,0.558100
771.0,0.648500,0.557400
772.0,0.647700,0.556700
773.0,0.646800,0.555900
774.0,0.646000,0.555200
775.0,0.645200,0.554500
776.0,0.644300,0.553800
777.0,0.643500,0.553100
778.0,0.642700,0.552400
779.0,0.641800,0.551700
780.0,0.641000,0.550900
781.0,0.640200,0.550200
782.0,0.639400,0.549500
783.0,0.638600,0.548800
784.0,0.637800,0.548100
785.0,0.636900,0.547400
786.0,0.636100,0.546700
787.0,0.635300,0.546000
788.0,0.634500,0.545400
789.0,0.633700,0.544700
790.0,0.632900,0.544000
791.0,0.632100,0.543300
792.0,0.631300,0.542600
793.0,0.630500,0.541900
794.0,0.629700,0.541200
795.0,0.628900,0.540600
796.0,0.628100,0.539900
797.0,0.627400,0.539200
798.0,0.626600,0.538500
799.0,0.625800,0.537800
800.0,0.625000,0.537200
801.0,0.624200,0.536500
802.0,0.623400,0.535800
803.0,0.622700,0.535200
804.0,0.621900,0.534500
805.0,0.621100,0.533800
806.0,0.620300,0.533200
807.0,0.619600,0.532500
808.0,0.618800,0.531900
809.0,0.618000,0.531200
810.0,0.617300,0.530500
811.0,0.616500,0.529900
812.0,0.615800,0.529200
813.0,0.615000,0.528600
814.0,0.614300,0.527900
815.0,0.613500,0.527300
816.0,0.612700,0.526600
817.0,0.612000,0.526000
818.0,0.611200,0.525400
819.0,0.610500,0.524700
820.0,0.609800,0.524100
821.0,0.609000,0.523400
822.0,0.608300,0.522800
823.0,0.607500,0.522200
824.0,0.606800,0.521500
825.0,0.606100,0.520900
826.0,0.605300,0.520300
827.0,0.604600,0.519600
828.0,0.603900,0.519000
829.0,0.603100,0.518400
830.0,0.602400,0.517800
831.0,0.601700,0.517100
832.0,0.601000,0.516500
833.0,0.600200,0.515900
834.0,0.599500,0.515300
835.0,0.598800,0.514700
836.0,0.598100,0.514000
