# time step,reward random diff model 3
1314.0,-0.004900
1315.0,-0.004900
1316.0,-0.004900
1317.0,-0.004900
1318.0,-0.004900
1319.0,-0.004900
1320.0,-0.004900
1321.0,-0.004900
1322.0,-0.004900
1323.0,-0.004900
1324.0,-0.004900
1325.0,-0.004900
1326.0,-0.004900
1327.0,-0.004900
1328.0,-0.004900
1329.0,-0.004900
1330.0,-0.004900
1331.0,-0.004900
1332.0,-0.004900
1333.0,-0.004800
1334.0,-0.004800
1335.0,-0.004800
1336.0,-0.004800
1337.0,-0.004800
1338.0,-0.004800
1339.0,-0.004800
1340.0,-0.004800
1341.0,-0.004800
1342.0,-0.004800
1343.0,-0.004800
1344.0,-0.004800
1345.0,-0.004800
1346.0,-0.004800
1347.0,-0.004800
1348.0,-0.004800
1349.0,-0.004800
1350.0,-0.004800
1351.0,-0.004800
1352.0,-0.004800
1353.0,-0.004800
1354.0,-0.004800
1355.0,-0.004800
1356.0,-0.004800
1357.0,-0.004800
1358.0,-0.004800
1359.0,-0.004800
1360.0,-0.004800
1361.0,-0.004800
1362.0,-0.004700
1363.0,-0.004700
1364.0,-0.004700
1365.0,-0.004700
1366.0,-0.004700
1367.0,-0.004700
1368.0,-0.004700
1369.0,-0.004700
1370.0,-0.004700
1371.0,-0.004700
1372.0,-0.004700
1373.0,-0.004700
1374.0,-0.004700
1375.0,-0.004700
1376.0,-0.004700
1377.0,-0.004700
1378.0,-0.004700
1379.0,-0.004700
1380.0,-0.004700
1381.0,-0.004700
1382.0,-0.004700
1383.0,-0.004700
1384.0,-0.004700
1385.0,-0.004700
1386.0,-0.004700
1387.0,-0.004700
1388.0,-0.004700
1389.0,-0.004700
1390.0,-0.004700
1391.0,-0.004700
1392.0,-0.004600
1393.0,-0.004600
1394.0,-0.004600
1395.0,-0.004600
1396.0,-0.004600
1397.0,-0.004600
